artist,genre,release_year,danceability,energy,valence,tempo,loudness,acousticness,instrumentalness,speechiness,liveness,popularity,duration_ms
Artist C,MPB,2020,0.6291338187149744,0.8607162067004561,0.3596752209569604,88.08998227456847,-12.853121893454281,0.8449447862568075,0.06731161114653583,0.3997686811223671,0.4469661030234615,52,204754
Artist D,axe,2022,0.44349502237041366,0.5587044363200826,0.6801496782331321,84.06576246220844,-15.696525048187691,0.17025306085671987,0.08713310024850354,0.32670129374630236,0.13860113139362618,71,169514
Artist F,MPB,2022,0.6502821739714354,0.4710499626510095,0.5261105276414144,147.27902911969466,-11.568808709748474,0.8770640849117394,0.10534593613531715,0.21703151002025253,0.03270357627940079,92,194857
Artist C,funk carioca,2022,0.48857971009320655,0.4223193724001273,0.21830249860576714,123.26167395983572,-10.449083619173297,0.7187466485264637,0.020561691543726324,0.0970897059584945,0.17306840037853294,30,290007
Artist G,funk carioca,2024,0.29964646465747996,0.3810664454747228,0.49486889033149045,140.75971197384337,-7.601746470767665,0.9231949897497057,0.09762063952510817,0.06066465149018013,0.23201491285865156,82,270551
Artist B,forro,2008,0.5434179018222551,0.6206534746761987,0.2519547914716525,102.99248881342342,-7.736768848013181,0.3458398653390058,0.01470887475413466,0.35312692766079296,0.4229713220114629,53,214689
Artist J,samba,2006,0.5240122540045088,0.5447296485475452,0.48871782415793735,113.801910473536,-17.168538042351642,0.9103649863042285,0.016489375741439206,0.30055437375423,0.2965284713892579,73,274044
Artist J,axe,2014,0.6932707447972684,0.7305444963780763,0.6601718075533457,152.42366470425083,-4.1701853173090875,0.18417164982218692,0.26028801444658317,0.3120876469712633,0.060279614602973056,58,193702
Artist A,axe,2020,0.3391425714754106,0.21027238589344527,0.5657041295053324,151.4719276472341,-14.92317641618589,0.7261618291689391,0.2039101607252106,0.19786789796148904,0.12118217069960398,67,172078
Artist G,samba,2002,0.5032939956763234,0.5581615212309767,0.39762815315333633,123.60197249211001,-14.494911510335282,0.9309289841508848,0.2285468329737042,0.038092723890105804,0.3680039726505331,71,175083
Artist I,samba,2024,0.41960398925366965,0.49214464090591314,0.33608516603435595,131.32727295207744,-16.663508124473978,0.552249632089859,0.20440793142843766,0.2373933908224883,0.2561353138500939,83,226081
Artist D,axe,2006,0.443790651459101,0.35631807989724323,0.34118344038697235,76.73375620795574,-10.559012319743147,0.15060017468208287,0.09450365945044552,0.21235135752767814,0.31141838978296943,57,258703
Artist G,axe,2005,0.795868423551197,0.6758926968048422,0.3058738667481736,100.9637555709396,-4.134572979409899,0.9614677292603704,0.1996930168578696,0.036872618986738354,0.08872231448835467,27,171130
Artist I,funk carioca,2008,0.5501451006107959,0.5482505247605156,0.7781998899710989,121.05806146134738,-8.06019386941774,0.5872382977165849,0.2642411098729878,0.1667067417263827,0.29840969767654385,23,297003
Artist I,samba,1998,0.6188007804850497,0.4399932029961199,0.7043783297385848,109.77685125989393,-10.629755804693687,0.2753536552389062,0.2780049418718313,0.26651573864525346,0.17344564977928312,90,167756
Artist F,samba,2008,0.22662871226684503,0.3675328969889757,0.5082948609043764,97.67019805619353,-5.110781718324915,0.9196404658756056,0.12325541105679827,0.07080178733403722,0.04280979074851112,90,179892
Artist G,MPB,2001,0.6210585085814448,0.8996992457537436,0.40463215283467585,133.253525758673,-3.756535513706446,0.8265148965654883,0.26458479187071277,0.1228098518059346,0.19896143654278797,46,168906
Artist B,axe,2019,0.8486891031795069,0.8379698524171462,0.3853645318412679,91.21097609782476,-9.583251745212726,0.9383504053227681,0.22341180781657802,0.10533021744039082,0.30415032310432094,94,251008
Artist E,forro,2018,0.6390098036066977,0.6853677413479833,0.8333965416861361,151.90890049953572,-6.105098096503925,0.6470987742160579,0.0642780468065844,0.30108342383879505,0.29778162512269374,23,268242
Artist H,samba,2015,0.4806715092151157,0.47608046293383377,0.26543192036789737,88.63796626826915,-3.2582390549872216,0.2187989192840022,0.16899815965593706,0.16666543382244073,0.16707668833604486,87,187309
Artist H,MPB,2019,0.7219952151427628,0.9574558327837188,0.4703835782263488,134.61158385659212,-17.55883141147136,0.5982898581954376,0.0845152428529435,0.26382206641548367,0.23859381584375583,49,267709
Artist D,forro,2002,0.5085274249170221,0.6507018996020364,0.731562880807769,114.48951755034578,-9.223719146964134,0.5080834778008053,0.06255683777985763,0.1717659681916372,0.17740637168895781,40,172828
Artist C,forro,2005,0.5992580336389968,0.5462101916959616,0.39940291797621297,135.97069289483085,-7.672846841966093,0.5076646957513038,0.14923826453789238,0.18276519763604612,0.24614775738168526,47,216976
Artist H,funk carioca,2021,0.6985098297540268,0.9203596792033777,0.615076381361141,106.50074108051007,-9.833071572229967,0.014351223669649249,0.18824379922498521,0.0669255467987148,0.3981654095682957,83,203224
Artist A,samba,2023,0.44737794883553994,0.45547344312148996,0.4282034357766302,101.83609560589217,-13.445746028208706,0.2572848419199575,0.007699735074178437,0.18286766164369758,0.3252810666670615,99,176915
Artist C,forro,2005,0.7648168528352506,0.7567958961070267,0.7227579920241627,127.99384925868215,-13.992229632522303,0.26934023606387725,0.09305232979447665,0.3994105475703511,0.23342719700485778,35,261107
Artist H,axe,2004,0.6491069460942558,0.4510562618098961,0.4638218598869397,156.68777288737172,-4.723101668248649,0.08804538466398992,0.11600097879354848,0.3057228097728914,0.10594896923762231,43,153766
Artist G,MPB,2001,0.6430082035955222,0.40924243704944,0.6510199838955235,131.966027600968,-4.788915482125432,0.37871378065540573,0.06839394451437619,0.28313642899555547,0.12909824822523294,38,156676
Artist I,MPB,2017,0.6503697217632638,0.7606727116006844,0.6018325711528791,71.44935159423255,-15.935370064889677,0.44877177071764984,0.21512221279623756,0.32675576095065706,0.38294379540751583,47,161674
Artist H,samba,2015,0.28465577187573443,0.38231358312588615,0.32720120302188016,72.782242628426,-6.835267096615269,0.6859950032584036,0.06759025290349287,0.0441021737604728,0.15821318390776812,41,159607
Artist I,axe,2002,0.3666623960067849,0.5944882583879046,0.3545414359246384,89.19767276861626,-7.51354966711699,0.5196482412958837,0.17709714814411268,0.32394424168821534,0.3551491842064192,86,287482
Artist D,funk carioca,2014,0.5962763396731023,0.664022762416445,0.7186170561174101,101.79322523927995,-11.071175948298851,0.4537725799511275,0.24838821932702576,0.3220517441269426,0.09080034016448957,89,181530
Artist E,axe,2018,0.24121705167627128,0.35112509180356677,0.2721548316299154,84.35266725443547,-12.037367669963096,0.14620660141764175,0.2782943719691125,0.27074179450507,0.08787641064934094,84,199056
Artist G,samba,2006,0.5180807480049912,0.7849925266867557,0.6793416972006585,155.81462495722604,-13.139007307058431,0.23604388595352865,0.05271548312141949,0.3674650091622219,0.4249310097088518,93,254508
Artist H,forro,1999,0.47720750281576246,0.6387864516997042,0.6163570881572027,93.92009842105035,-7.239207440131803,0.3202896897841182,0.06816581381030143,0.04400698028698034,0.3342450936601456,56,167899
Artist D,forro,2003,0.8151188037970492,0.6972026077007502,0.8568295969892463,111.27890417098156,-11.212899431389216,0.1484950650899468,0.08166305572796016,0.054113191262861085,0.09017599237865101,83,180597
Artist H,forro,2013,0.3635206950707047,0.49771545343746393,0.2528586196377585,82.6621560893622,-7.833713786972735,0.25719436398107787,0.102387126879872,0.3701755338570138,0.45553210260647103,89,289084
Artist B,bossa nova,2011,0.3657456123608707,0.5361546079365072,0.33897409681244195,97.45812989471776,-7.515792399729747,0.4041966139901253,0.08441694754902514,0.17600483569399183,0.4282412997087135,55,290752
Artist C,axe,2007,0.7238877551909677,0.595863742333645,0.6352773312653468,119.12319646316465,-3.2820685376818233,0.23062353884357234,0.2110771530701569,0.3792227072641347,0.2852832360026651,21,288764
Artist G,funk carioca,2012,0.594413934336097,0.5759767299249359,0.42893038296858044,107.67024131538625,-7.74687638294613,0.25516958042863036,0.14149586174384318,0.2008577853851887,0.19743877112899313,86,183445
Artist H,forro,2015,0.7402671079081548,0.7405113782796986,0.3733542744321925,77.99772536318075,-16.816851243508268,0.7836793737726518,0.01522143102727217,0.18491934744012747,0.1267212302508125,77,215093
Artist A,samba,2023,0.5389385843463215,0.6617420035969594,0.8019179632097275,137.3042956502749,-14.674928436453754,0.36271064194860614,0.0605753951588458,0.3264948226045948,0.18273947089799505,90,237102
Artist J,MPB,2021,0.6933429122320616,0.5330165143939731,0.6520924421530148,157.26335376736577,-9.169259053115262,0.3824049967880525,0.0748554975382647,0.19660921574081752,0.3541733674288897,26,199677
Artist H,bossa nova,2016,0.5113053838741005,0.20144188288545523,0.21410804450776522,91.19858822380912,-17.62673283419854,0.7821125756956795,0.23164477762991276,0.08770166342786072,0.1177387023310747,98,160298
Artist D,MPB,2006,0.7245171898833902,0.8352248486204035,0.39121612198093314,89.94188944893608,-11.197776948824583,0.768238505197692,0.03932743884964583,0.18315247446400323,0.3816423869895266,33,184582
Artist G,forro,2008,0.7640405367604359,0.6155073769154684,0.7516503227282559,137.9694394905469,-13.409377626265695,0.716385996089235,0.028373441341869376,0.09878251288511414,0.4868587411439228,74,153788
Artist C,MPB,2023,0.4790591797569124,0.46123573104901605,0.5264714627339196,110.87845499231148,-15.315964520626725,0.5812782457398945,0.19047713676892697,0.36366925353109886,0.36987072264592985,96,236956
Artist B,samba,2006,0.5358745243311432,0.5999640179289552,0.7977327822240734,73.63336364296728,-17.3157802878113,0.06327975635177896,0.025521458136013253,0.34380665035575714,0.05727719629170322,93,298828
Artist F,MPB,2010,0.47902764866137726,0.27475674679569445,0.4202116209913255,74.3325848105205,-17.74786263275578,0.8600208195248047,0.21083964784641843,0.06768050355391646,0.141540033105785,98,185028
Artist I,funk carioca,2024,0.8119570225577448,0.9237632580426822,0.5080323204542073,158.32395230819827,-15.45158230764605,0.6269361437482296,0.05364197200417261,0.15141693058680128,0.07687982682559294,95,159215
Artist I,MPB,2008,0.6752855031138558,0.9917889340676027,0.4768528373122347,135.100983168345,-3.923294865009238,0.9403360826230013,0.1897058061320563,0.32862468718481863,0.301418136382589,70,186594
Artist A,forro,2019,0.3541686188057521,0.2469881740124664,0.3495430192804272,116.3783447957166,-13.089459652139325,0.18109314098630847,0.10443255810834025,0.028969278150595246,0.14031736820469853,73,240734
Artist G,samba,2003,0.2985347687184569,0.48658497487310515,0.6050444832206978,84.23491973843707,-3.9396173005832473,0.11695864466562156,0.023185927584111497,0.021211917088799964,0.16525714466512975,55,289350
Artist A,bossa nova,2008,0.8206949379784316,0.7840516622552669,0.31620077935239793,151.93089681289325,-16.526955030656218,0.9021275781945923,0.2095912757732745,0.09047207715142426,0.03376625236607445,53,294982
Artist J,samba,1999,0.4878126574631321,0.45139050497430616,0.4177672854459965,103.76539131949389,-8.939767083414655,0.3153229844942612,0.0009507393415459808,0.37373934055242714,0.32735921138341595,89,158979
Artist E,forro,2020,0.41065869543230793,0.6536398066915592,0.5037529933661462,99.5317414347282,-10.065126894935318,0.9597781863701643,0.2259741716076284,0.20295862585364446,0.35024061350419555,52,165265
Artist J,funk carioca,1999,0.6950576323443389,0.5332567698520239,0.6159094941823997,141.1052771579329,-8.47818448190576,0.7562731115909688,0.27104947376143657,0.08643360854276867,0.2887472682171784,53,178346
Artist F,samba,2020,0.8913964227712938,0.8193697261046999,0.4447250455743182,143.6354290470855,-5.287789259456414,0.22496127568648616,0.06296746891340424,0.10109256578274543,0.07126889295529666,38,197774
Artist H,bossa nova,2020,0.8749850825776404,0.9667715207712271,0.9123514776045218,71.73302810305753,-12.151653605303396,0.6265866671500011,0.14494458644861558,0.07168835108275144,0.356515585684742,64,161745
Artist A,axe,2002,0.7189591861555457,0.9107163410533414,0.5593394101216668,119.5185066217737,-8.02007646000415,0.34134576361400626,0.21581497322576612,0.23789378500616393,0.4657106366150202,94,217976
Artist H,forro,1998,0.6546167361099439,0.6967483721600396,0.7747841373665088,101.59232391892681,-14.830447666711393,0.8203849844559825,0.09028392383202814,0.09656725775353349,0.4544536003815762,28,155560
Artist F,funk carioca,2023,0.20102443094334155,0.32821945013445586,0.6278613539848288,157.32537295262807,-6.213218627632562,0.6432750315931122,0.1793690052799053,0.2555408894367592,0.4843116504386638,71,299158
Artist B,axe,2015,0.6179695291946836,0.9576496666493302,0.9139879249198637,98.30930419424548,-9.983074714127714,0.7293754870832325,0.008948285218815332,0.39142538722106673,0.43913550297761283,61,164833
Artist E,forro,2013,0.2637433410306477,0.21890594293742086,0.24285982378045046,97.05942903839626,-16.794378392773268,0.28628074697416617,0.09642979638441734,0.2552852678409825,0.3602037435613227,77,239501
Artist D,bossa nova,2014,0.4274080144774632,0.4381675651366892,0.6791864906137386,129.25478656143213,-13.605169353492101,0.021990014112351797,0.08810520477782562,0.10949548783079247,0.10453115855005922,30,288036
Artist A,samba,2018,0.5575540096310776,0.4252907944804767,0.3084207384582968,151.336625159241,-15.977678821765691,0.4131475727716367,0.2010325219013079,0.0823328345848088,0.4991025114862155,26,230438
Artist I,forro,2013,0.5107683818622,0.7374607853781638,0.5346501153514738,127.78436657463281,-6.821936019471984,0.7169231946608777,0.18745020086105926,0.12709711517050257,0.1252914221334868,45,292235
Artist G,bossa nova,2018,0.40037616615316984,0.5898904528580091,0.34256605379469557,120.38421346497549,-11.942887190042015,0.9124032923424445,0.20495540457283454,0.20256996020290036,0.20465941281605132,62,200977
Artist E,funk carioca,2010,0.44357207672703036,0.2743108390059578,0.4002028819589985,80.87068139057268,-10.149767113812276,0.30800332117408546,0.2633885079939598,0.10093033898916885,0.471158988181181,39,296921
Artist D,bossa nova,1998,0.48138463411235227,0.2102863101959443,0.12923117986054317,93.13745767136491,-8.857648907686453,0.45893509468036386,0.2807549371894268,0.02273328925841992,0.4973080078813298,66,164681
Artist C,forro,1999,0.7619384593703757,0.6834525974189103,0.8474863386578659,141.89481145516555,-12.40828499396548,0.8816054360851197,0.031208655170313113,0.32055956158843485,0.16882329528563475,78,201495
Artist H,samba,2018,0.652678479936208,0.5931866658727409,0.24507263333432205,82.24942971394502,-3.2106303717393683,0.25106740906126734,0.19131141326255183,0.23309119368236278,0.47057537538396843,21,240707
Artist A,samba,2003,0.8020903382772608,0.6811056970723209,0.5703999654307143,154.62091854179636,-6.705418887003814,0.6811403246607249,0.1019921032314308,0.29614928922959194,0.09787230725845261,71,296213
Artist F,MPB,2000,0.5995682972917676,0.6512190910924276,0.7633448136724634,155.26099141776209,-8.272544976131085,0.8833613837164876,0.09533508212613145,0.17050802481633545,0.13273177710014128,48,282671
Artist C,MPB,2016,0.8572078811740382,0.9123672866397441,0.44445586824534616,127.51479499563243,-15.719278969834509,0.630371301005869,0.2479674173680219,0.10624923717644492,0.04942363610994757,86,288292
Artist A,MPB,2002,0.7277014655331226,0.9347174862964776,0.7321480915114192,97.19971830390416,-12.435190551911447,0.11565570042275553,0.15865758957167522,0.25095870402347936,0.35061738833154926,95,212309
Artist F,MPB,2022,0.3516657015757705,0.350605728881892,0.45889180951272884,153.16940149252537,-12.312675770982969,0.6522845511029491,0.13297506604354206,0.17843581395951436,0.054978164599936666,91,198540
Artist C,bossa nova,2006,0.936546854212243,0.9536966955764274,0.8360006169514742,141.78376556982653,-7.44385900228613,0.041595633849606184,0.05763927465277919,0.1266807488471773,0.2859639288959935,32,281260
Artist J,forro,2011,0.6703915821328572,0.8301813010582269,0.751229365464907,136.32906043478013,-16.779448326064056,0.28175387393094586,0.22205787413359918,0.3435768675894622,0.23031126575020874,28,238016
Artist H,axe,2009,0.7253210158505183,0.7112210017783731,0.7794964813946959,82.7485637124118,-15.900595278637258,0.8843520208464611,0.26027632189904887,0.3889938951137475,0.16773497436612503,84,156760
Artist D,samba,2008,0.6354205346758227,0.7276858139927596,0.7670445248007738,124.9418156011825,-6.088305629224783,0.7142785526077157,0.20005851975037167,0.3178462129322968,0.3696159679568519,99,245082
Artist J,bossa nova,2014,0.42699407997963557,0.636848183920514,0.604455240804993,143.5615688383368,-12.2646085934511,0.2151090051974397,0.2163317534609743,0.36097479006469213,0.3274500778150973,40,243083
Artist H,MPB,2020,0.6110368149911877,0.9338106397142727,0.5835027685417383,90.86313120884174,-13.508824831123176,0.6916823570049038,0.03284875233413279,0.24551280491891048,0.1903157510057064,88,176470
Artist E,funk carioca,2004,0.4360153735068667,0.38661056496011104,0.21910123786201985,93.26629461975688,-16.424240800784396,0.5735977359264416,0.09489152994812776,0.11513129943945329,0.1224415020221632,66,233906
Artist B,axe,1999,0.690742835449547,0.6794527938156647,0.37007179331171414,110.2768198663672,-16.730954040698858,0.8090220945823875,0.1406718419348043,0.34137644279336715,0.42035485469795947,48,265490
Artist A,axe,2017,0.8078303543676884,0.8513944494973205,0.8632823244919746,142.31559916298352,-11.715387555044451,0.6721104583575495,0.23438310546627708,0.2966757656757762,0.33132831171967797,24,243446
Artist I,forro,2014,0.3189643302227231,0.307809161296904,0.28302404007819104,78.68378039509444,-11.100378379584438,0.8254801373084067,0.029434904911098167,0.07486574089394922,0.49150356291964775,65,241929
Artist E,funk carioca,2010,0.4191282348908847,0.6924066194870937,0.8133810496987091,133.2023417300338,-3.451323773160416,0.7296342187636143,0.062161298613514965,0.39356091938139737,0.11302761065068216,69,160242
Artist J,samba,2024,0.5267026387426412,0.5222667804236591,0.3925585179711736,121.89576112725828,-8.033707522258716,0.08266991220501763,0.28550990622009864,0.37747950237307776,0.4831931374073224,25,198157
Artist E,forro,2007,0.5635242406526978,0.8128290731730263,0.3594858647303257,133.83803261758547,-14.669389332028617,0.4739226973545144,0.0428707816801712,0.16185783377692495,0.4758956066046913,50,240240
Artist F,axe,2009,0.2805508801048749,0.2541714884964325,0.2756670852487533,83.87733301081025,-7.751246238522697,0.061203593061259,0.2197465267837904,0.190220396544431,0.4607221661693285,36,260809
Artist I,axe,2021,0.6378505577689638,0.6854515048273627,0.5049709471186852,156.86953770209584,-17.80815185718598,0.28581635092102875,0.12308225813003106,0.175669641443847,0.2233159297257611,28,242102
Artist E,bossa nova,2006,0.6881309601179096,0.8856629519893175,0.41647324531534735,83.99190636854797,-6.831612038593711,0.2809169120182934,0.2629982734586132,0.21155641945878392,0.39630353900374476,45,217801
Artist F,MPB,2024,0.60520762847125,0.7026782898904724,0.5389280917646284,144.19206702626866,-13.309474930119089,0.4681629843903574,0.020543491411718073,0.12204578015223996,0.2532184646294602,27,272939
Artist J,samba,2008,0.2944256732618736,0.4570701563628166,0.6615938072604459,70.82558513930096,-7.808262902695196,0.3292587349797783,0.22091055720064154,0.08089322186550951,0.4135399887511591,60,169415
Artist C,axe,2017,0.5079882727753448,0.7246368447375113,0.538146669692185,134.7550445537433,-3.6694147253165053,0.23228091657539618,0.2849966666758637,0.376971595445551,0.14652769636127944,85,195442
Artist C,samba,2013,0.6190715980140553,0.47052227418880865,0.4844493980197204,97.41910887573296,-3.163716305324707,0.8599896901650723,0.2102767050090966,0.27497357697644614,0.38558383525972023,27,213070
Artist J,forro,2018,0.6456771093829611,0.734874230728072,0.8932134623963565,104.05857654145257,-9.674624169242433,0.05426942941600188,0.1091516526892358,0.39462892109532033,0.09751113019685294,80,299351
Artist J,forro,2021,0.5356523951022454,0.3026755211536428,0.25026192475059406,149.17080152058125,-16.952674835741043,0.4629175393884998,0.2901271885535102,0.2853319795271489,0.16068731763501426,99,167566
Artist J,funk carioca,2002,0.5973164375686673,0.42399339535671415,0.4959461527714523,105.4143474947319,-17.073446761146354,0.64408169726669,0.2407598756832868,0.14340364840522224,0.22495106045418647,35,237267
Artist J,axe,2017,0.21297281181398317,0.2261747025575323,0.6831236524772071,118.0544647460608,-13.931166887612656,0.19045702012300358,0.20352580104485693,0.32438901890075134,0.0919086320230638,92,211447
Artist A,samba,2009,0.3201152423921037,0.2671275111701527,0.4042856645661389,125.46714370502372,-16.58632366815201,0.45747164311275057,0.08028785616814062,0.11246021537519067,0.1523605436312151,97,181404
Artist J,axe,2007,0.596600737543751,0.6438156958532053,0.6123778623365572,71.04336410729266,-13.682090647499958,0.3419721427664947,0.2259839320481454,0.39954211946897333,0.36328249757682307,51,187729
Artist B,funk carioca,2018,0.27022120612244915,0.3853585771138458,0.4821672804005218,132.2299149053491,-4.7159820291911245,0.8623754067587331,0.27195222425320076,0.16600866669933842,0.3615437802825798,25,220338
Artist I,forro,2008,0.40186210675670514,0.6128660701101856,0.31430794878676793,155.39152827404945,-13.388432675950085,0.050534082991161466,0.19161529726604357,0.17823301218315923,0.42154824281069037,85,160832
Artist G,samba,2002,0.7731879992364366,0.727655626458273,0.7207435651726555,106.1529919895673,-13.059120397025742,0.060766751227409155,0.11505928674952882,0.28274535333350803,0.45594385728265974,23,237114
Artist F,axe,2015,0.8736548141512974,0.9049489434796187,0.9092237583851931,145.81409045655482,-5.534632514296561,0.47046193510130896,0.2940652748278484,0.13581895151623852,0.14314717242382813,60,171560
Artist E,samba,2023,0.44374503223117995,0.48404881167083097,0.7495653543871228,90.63240407981168,-6.585924011920499,0.7078875457624656,0.017592776106284114,0.18900280214083043,0.37698694159454077,46,262974
Artist G,axe,2014,0.5555997767757487,0.45494317315099614,0.5339785195715441,119.14249487053968,-13.160376694018709,0.873279547572385,0.09653491703209845,0.15251046864340279,0.09499009914379215,39,165329
Artist G,bossa nova,2006,0.477733279924894,0.4509333932510464,0.39188012951749146,92.06434210787914,-10.464435018220705,0.5071654469063878,0.2886407551810247,0.029037343272291037,0.344682764390759,56,176598
Artist F,MPB,2001,0.47562923727548534,0.29427971561951627,0.5230180683900397,88.70244145673108,-9.598349955199879,0.9647747521749821,0.18576871756084867,0.24334470454676901,0.02884689591881713,63,261891
Artist A,forro,2005,0.5644020564029711,0.7305466917258117,0.8589889393028576,127.31101856746083,-7.156719423834408,0.6708388195881021,0.02930155479339883,0.23875871946800928,0.03777480248559877,31,256703
Artist D,MPB,2013,0.703048687993657,0.8557236651497684,0.9291709817319412,72.5704562895422,-15.990808652884356,0.9527191144554003,0.16838425823074663,0.15272089158075347,0.4213847148233771,30,280673
Artist B,MPB,2005,0.7042248654994849,0.578403888690391,0.4011346312001151,159.08139683967494,-6.697843557335258,0.8551430913581805,0.2994757337670046,0.16093358631437765,0.36698648647822646,96,185330
Artist J,axe,2018,0.7146403787469319,0.6466379175588379,0.8200671005280311,133.10140672770103,-16.543832634416976,0.895411510256301,0.278792657261561,0.03446403418979337,0.16347783327939547,70,188682
Artist I,MPB,2008,0.7040559566423774,0.9667840909564946,0.8248870912072555,94.21631257420636,-9.19334132477871,0.03070531024734957,0.09270795538289656,0.13733694747996558,0.37946121660080584,77,193821
Artist A,MPB,2001,0.8081877147325192,0.759132137321991,0.8267551254724609,124.40280698448217,-3.8219187808940482,0.8803574917842812,0.07477419847548836,0.2999817034425936,0.17020667905711162,87,212121
Artist G,samba,2015,0.6371043201676468,0.7960279093181215,0.4188997686276211,74.94945309076401,-15.428313159337211,0.6575978871871808,0.08055326763839242,0.20655250440488845,0.288124605552136,34,295087
Artist C,bossa nova,2018,0.8199111894439326,0.9115986858436227,0.950387495922075,129.83298922921028,-6.381533910567672,0.1427164803115275,0.06549931421055424,0.09032115998893135,0.3916094581787603,23,284922
Artist F,funk carioca,2022,0.508183696845697,0.3726324608672951,0.6011636084947294,145.90242282302214,-12.129134299033844,0.08363235320878659,0.05811446971174265,0.07033861922945076,0.11189930053354301,53,296308
Artist J,axe,2002,0.5927536955639356,0.7201328466565526,0.38796356551614525,142.70399277730633,-14.504821913922353,0.11781197321724635,0.09104327275162623,0.20324922932706826,0.1943432371036271,26,200845
Artist F,MPB,2019,0.7951868853620125,0.7739156042611148,0.6336387290205832,81.61035542940749,-10.294668819880286,0.4893317912796302,0.2357074651380673,0.19940083254787147,0.18942027619714563,37,295746
Artist J,samba,2000,0.7104100930975813,0.8737823437788206,0.41643298804098255,83.31366154144969,-15.14170473803712,0.06774882641023494,0.1581783987125806,0.19485755178993805,0.3429624470228693,40,243533
Artist D,bossa nova,2023,0.6692925428920045,0.4750284368015155,0.6247640537369785,129.23906329092645,-11.32188859533607,0.4168556579356446,0.0671692443037158,0.24419430540157033,0.12386092634370366,31,283345
Artist C,MPB,2013,0.8253010326414778,0.7510357645704382,0.657522689452561,95.65662574742271,-9.210855084467207,0.1623406733602244,0.25087501770218357,0.15263441203402578,0.3170660111243477,33,258092
Artist I,samba,2002,0.7702184576463955,0.6835204846420846,0.6203804758209954,153.67756516467566,-6.438172004538824,0.04417743868357071,0.13073264592537368,0.1699170662657239,0.3820845627641632,95,269375
Artist J,axe,2019,0.6798346806566085,0.5274888270581323,0.7193330712351992,121.3858476473581,-5.790409196806067,0.1089679164485472,0.04610036664641741,0.14494996933753893,0.13082831831100034,27,239804
Artist G,bossa nova,2019,0.22762778177613513,0.28134860566573067,0.5743769582624672,120.70779531046077,-4.674241209720337,0.08794489606226807,0.18813570411623398,0.25667074525740063,0.1951404260630755,40,291036
